class,id,url
B,CCM-AGM-ROR,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-AGM-CSC,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-OCR-AVL,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-OCR-NRD,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-OCR-FBM,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-OCR-AFS,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-OCR-LSI,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-OCR-SOR,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-OCR-RPS,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-MTG,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-REG,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-NRD,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-NID,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-SAR,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-ACT,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-RTR,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-RTP,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-SRR,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CCM-QTR-SCR,https://fedramp.gov/2026/reference/20x/b/collaborative-continuous-monitoring/
B,CDS-CSO-PUB,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-SVC,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-FID,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-FRC,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-AVR,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-UTC,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-CBF,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-RIS,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-IRP,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-HAD,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-PSM,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-CSO-RPS,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-TRC-USH,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-TRC-PAC,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-TRC-AAI,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-TRC-ACL,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-TRC-HMR,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-TRC-SSM,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-UTC-AAD,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CDS-UTC-AGA,https://fedramp.gov/2026/reference/20x/b/certification-data-sharing/
B,CMU-CSO-CMD,https://fedramp.gov/2026/reference/20x/b/cryptographic-module-use/
B,CMU-CSO-UVM,https://fedramp.gov/2026/reference/20x/b/cryptographic-module-use/
B,CMU-CSO-CAT,https://fedramp.gov/2026/reference/20x/b/cryptographic-module-use/
B,CPO-CSO-OVR,https://fedramp.gov/2026/reference/20x/b/certification-package-overview/
B,CPO-CSO-MTD,https://fedramp.gov/2026/reference/20x/b/certification-package-overview/
B,CPO-CSO-OSA,https://fedramp.gov/2026/reference/20x/b/certification-package-overview/
B,CPO-CSX-CPM,https://fedramp.gov/2026/reference/20x/b/certification-package-overview/
